time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1982-05-05T15:28:16.600Z,35.675,-84.415,13,1.9,md,,243,0.35074,0.1,se,se60162,2022-06-28T13:49:22.188Z,"1 km WSW of Philadelphia, Tennessee",earthquake,,1.3,,,reviewed,nm,nm
1982-05-12T01:21:52.200Z,34.896,-85.02,10,2.6,md,,89,0.27879,0.1,se,se60164,2022-06-28T13:49:29.654Z,"4 km W of Varnell, Georgia",earthquake,,0.6,,,reviewed,nm,nm
1982-05-15T03:54:47.400Z,35.679,-84.345,21.2,1,md,,143,0.23382,0.1,se,se60166,2022-06-28T13:49:37.253Z,"5 km E of Philadelphia, Tennessee",earthquake,,1.7,,,reviewed,nm,nm
1982-05-17T03:54:13.400Z,35.723,-84.321,15.3,1,md,,,,,se,se60167,2022-06-28T13:49:48.706Z,"1 km SE of Loudon, Tennessee",earthquake,,,,,reviewed,se,se
1982-05-20T07:12:07.700Z,35.039,-85.148,10.7,1.3,md,,161,0.17986,0.1,se,se60169,2022-06-28T13:49:55.934Z,"4 km N of East Brainerd, Tennessee",earthquake,,0.6,,,reviewed,nm,nm
1982-05-26T07:42:43.000Z,34.99,-85.265,18.5,2,md,,119,0.07195,0.1,se,se60170,2022-06-28T13:49:57.625Z,"1 km NNW of Lakeview, Georgia",earthquake,,0.5,,,reviewed,nm,nm
1982-05-30T07:11:59.100Z,35.702,-84.135,11.6,1.4,md,,91,0.17087,0.1,se,se60171,2022-06-28T13:49:59.228Z,"5 km NE of Greenback, Tennessee",earthquake,,0.6,,,reviewed,nm,nm
1982-06-12T12:20:29.500Z,36.093,-83.777,16.3,1.1,md,,333,0.18886,0,se,se60172,2022-06-28T13:50:00.495Z,"4 km NW of Mascot, Tennessee",earthquake,,0.7,,,reviewed,nm,nm
1982-06-17T21:09:38.200Z,35.208,-84.498,6.4,1.7,md,,119,0.12591,0.1,se,se60174,2022-06-28T13:50:13.566Z,"13 km S of Etowah, Tennessee",earthquake,,2.1,,,reviewed,nm,nm
1982-07-08T05:18:50.900Z,35.484,-84.178,15.2,0.7,md,,137,0.20684,0.1,se,se60177,2022-06-28T13:50:21.179Z,"13 km SSE of Vonore, Tennessee",earthquake,,1.4,,,reviewed,nm,nm
1982-07-19T04:34:42.600Z,35.738,-83.978,12.6,0.9,md,,212,0.18886,0,se,se60180,2022-06-28T13:50:33.543Z,"2 km SSW of Maryville, Tennessee",earthquake,,0.7,,,reviewed,nm,nm
1982-08-25T07:44:47.800Z,35.922,-83.906,14.3,1.5,md,,172,0.01799,0.1,se,se60182,2022-06-28T13:50:41.529Z,"4 km SSE of Knoxville, Tennessee",earthquake,,0.4,,,reviewed,nm,nm
1982-09-05T10:11:09.400Z,35.192,-84.506,12.6,3.2,md,,101,0.14389,0.1,se,se60183,2022-06-28T13:50:46.972Z,"13 km E of Benton, Tennessee",earthquake,,0.3,,,reviewed,nm,nm
1982-09-07T07:56:45.100Z,35.292,-84.116,21.7,0.3,md,,239,0.27879,0.1,se,se60184,2022-06-28T13:50:52.523Z,"18 km ESE of Tellico Plains, Tennessee",earthquake,,5.4,,,reviewed,nm,nm
1982-09-20T17:01:48.600Z,36.036,-83.868,10.2,1.1,md,,241,0.10792,0.1,se,se60186,2022-06-28T13:51:04.159Z,"9 km NNE of Knoxville, Tennessee",earthquake,,0.6,,,reviewed,nm,nm
1982-09-21T01:07:18.300Z,36.113,-83.75,15.7,1.4,md,,226,0.21584,0.1,se,se60187,2022-06-28T13:42:29.859Z,"5 km N of Mascot, Tennessee",earthquake,,0.9,,,reviewed,nm,nm
1982-09-24T21:57:42.500Z,35.68,-84.238,13.1,3,mb_lg,,63,0.20684,0.2,se,se60188,2022-06-28T13:51:05.479Z,"1 km ESE of Tellico Village, Tennessee",earthquake,,0.7,,,reviewed,nm,us
1982-09-24T21:57:49.100Z,36.01,-84.48,10,2.5,md,,,,,se,se601800,2016-04-14T19:17:57.670Z,"5 km WSW of Coalfield, Tennessee",earthquake,,,,,reviewed,se,se
1982-09-24T22:19:16.900Z,35.684,-84.251,8.1,3.4,mb_lg,,62,0.38671,0.1,se,se60189,2022-06-28T13:51:10.839Z,"0 km ENE of Tellico Village, Tennessee",earthquake,,0.7,,,reviewed,nm,us
1982-09-24T22:19:21.500Z,35.86,-84.46,10,2.7,md,,,,,se,se601801,2016-04-14T19:18:03.750Z,"4 km ESE of Kingston, Tennessee",earthquake,,,,,reviewed,se,se
1982-09-24T22:54:11.700Z,35.68,-84.25,6.7,1.4,md,,167,0.37772,0.1,se,se60190,2022-06-28T13:51:16.690Z,"0 km SE of Tellico Village, Tennessee",earthquake,,1.3,,,reviewed,nm,nm
1982-10-09T18:09:53.700Z,35.148,-84.685,0,1.8,md,,,0.17986,,se,se60191,2022-06-28T13:51:17.932Z,"4 km SW of Benton, Tennessee",earthquake,,,,,reviewed,se,se
1982-10-18T04:26:27.000Z,35.676,-84.236,15,0,md,,318,0.20684,0.1,se,se60192,2022-06-28T13:51:19.115Z,"1 km ESE of Tellico Village, Tennessee",earthquake,,,,,reviewed,nm,nm
1982-10-22T02:34:32.500Z,36.324,-84.067,20.2,1.6,md,,204,0.42268,0.1,se,se60193,2022-06-28T13:51:20.946Z,"7 km NE of Pine Crest, Tennessee",earthquake,,1.5,,,reviewed,nm,nm
1982-11-02T08:44:45.600Z,35.766,-83.97,13.6,1.2,md,,147,0.17986,0.1,se,se60196,2022-06-28T13:51:26.204Z,"1 km N of Maryville, Tennessee",earthquake,,0.7,,,reviewed,nm,nm
1982-11-08T09:56:10.600Z,35.222,-84.345,18.3,0.5,md,,307,0.1349,0.1,se,se60197,2022-06-28T13:51:27.269Z,"16 km SSW of Tellico Plains, Tennessee",earthquake,,1,,,reviewed,nm,nm
1982-11-20T03:30:44.700Z,35.22,-84.752,0,1.1,md,,,0.14389,,se,se60199,2022-06-28T13:51:33.950Z,"7 km S of Charleston, Tennessee",earthquake,,,,,reviewed,se,se
1982-11-23T04:51:00.100Z,35.068,-85.446,0,2,md,,,0.70147,,se,se60200,2022-06-28T13:51:39.529Z,"11 km WSW of Signal Mountain, Tennessee",earthquake,,,,,reviewed,se,se
1982-12-01T03:06:23.800Z,35.767,-83.741,22.9,1,md,,158,0.10792,0.1,se,se60201,2022-06-28T13:51:40.846Z,"7 km ENE of Walland, Tennessee",earthquake,,0.8,,,reviewed,nm,nm
1982-12-01T13:39:44.600Z,35.255,-84.428,13.1,0.4,md,,109,0.07195,0.1,se,se60202,2022-06-28T13:51:42.018Z,"11 km SE of Etowah, Tennessee",earthquake,,0.8,,,reviewed,nm,nm
1982-12-06T10:52:35.100Z,36.136,-83.747,9,1.7,md,,199,0.23382,0.1,se,se60204,2022-06-28T13:51:44.334Z,"4 km WSW of Blaine, Tennessee",earthquake,,0.8,,,reviewed,nm,nm
1982-12-14T06:35:10.200Z,35.298,-84.166,12.2,2.4,md,,78,0.09893,0.1,se,se60220,2022-06-28T13:52:02.570Z,"13 km ESE of Tellico Plains, Tennessee",earthquake,,0.3,,,reviewed,nm,nm
1982-12-15T02:27:59.300Z,35.749,-84.22,13.1,2.1,md,,81,0.17986,0.1,se,se60221,2022-06-28T13:52:03.812Z,"6 km SSE of Lenoir City, Tennessee",earthquake,,0.3,,,reviewed,nm,nm
1983-01-08T22:30:37.200Z,34.915,-85.526,0,2.3,md,,,0.56657,,se,se60245,2022-06-28T13:52:59.217Z,"5 km NNW of Trenton, Georgia",earthquake,,,,,reviewed,se,se
1983-01-18T05:09:12.300Z,35.589,-84.287,8.2,2.3,md,,88,0.28778,0.2,se,se60247,2022-06-28T13:53:01.646Z,"4 km W of Vonore, Tennessee",earthquake,,1,,,reviewed,nm,nm
1983-01-26T11:30:55.400Z,35.416,-84.135,12.9,0.9,md,,113,0.17087,0.1,se,se60250,2022-06-28T13:53:05.067Z,"15 km ENE of Tellico Plains, Tennessee",earthquake,,0.3,,,reviewed,nm,nm
